index,id1,sentence1,id2,sentence2,score
70,p_1,Denial of Service,p_72,V2X Denial of Service,0.5482310652732849
148,p_2,Malware,p_57,Mobile App malware,0.5738139152526855
187,p_3,Manipulation of hardware and software,p_4,Manipulation of information,0.6555207371711731
201,p_3,Manipulation of hardware and software,p_18,Software vulnerabilities exploitation,0.5897517800331116
220,p_3,Manipulation of hardware and software,p_37,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,0.5817248821258545
224,p_3,Manipulation of hardware and software,p_41,"Attacker can modify the hardware or changing or disabling physical sensors, memories and features.",0.5828400254249573
226,p_3,Manipulation of hardware and software,p_43,Attacker operates phisically on the TC by tampering the device firmware.,0.5665547847747803
227,p_3,Manipulation of hardware and software,p_44,An attacker could perform remote control by installing remotely his own software on the device.,0.575560986995697
229,p_3,Manipulation of hardware and software,p_46,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.5762535929679871
289,p_4,Manipulation of information,p_15,Theft,0.5737058520317078
294,p_4,Manipulation of information,p_20,Communication protocol hijacking,0.5395131707191467
298,p_4,Manipulation of information,p_24,Information leakage,0.535394549369812
325,p_4,Manipulation of information,p_51,Mobile App spoofing,0.5756605863571167
365,p_4,Manipulation of information,p_91,Misleading Content,0.6236312985420227
560,p_7,Failure or malfunction of a sensor/actuator,p_19,Failure or Disruption of service,0.5350328087806702
642,p_8,Vandalism,p_14,Sabotage,0.6566077470779419
643,p_8,Vandalism,p_15,Theft,0.5992177724838257
719,p_8,Vandalism,p_91,Misleading Content,0.5402388572692871
733,p_9,Network outage,p_19,Failure or Disruption of service,0.654458224773407
911,p_11,Unauthorised activities,p_28,Violation of rules and regulations/Breach of legislation/ Abuse of personal data,0.5481522679328918
981,p_12,Identity theft,p_15,Theft,0.6222518086433411
1519,p_18,Software vulnerabilities exploitation,p_76,Web Application Vulnerabilities,0.7053952813148499
1616,p_20,Communication protocol hijacking,p_22,Man-in-the-middle attack / Session hijacking,0.5429096817970276
1839,p_23,Unintentional change of data or car components configuration,p_26,Erroneous use or configuration of car components,0.7664788961410522
1845,p_23,Unintentional change of data or car components configuration,p_32,Attacker modifies the path of the sensitive data circulating in the vehicle.,0.5893518328666687
1886,p_23,Unintentional change of data or car components configuration,p_73,Infotainment Alteration,0.5689945816993713
1955,p_24,Information leakage,p_71,Data loss,0.574237585067749
1961,p_24,Information leakage,p_77,Operator-sided Data Leakage,0.7119442224502563
2039,p_25,Using information and/or devices from an unreliable source,p_85,Collection of data not required for the user-consented purpose,0.5517120957374573
2045,p_25,Using information and/or devices from an unreliable source,p_91,Misleading Content,0.6235634088516235
2087,p_26,Erroneous use or configuration of car components,p_64,Infotainment reverse engineering,0.565082311630249
2171,p_27,Failure to meet contractual requirements,p_80,"Non-transparent Policies, Agreements, Terms and Conditions",0.5381651520729065
2295,p_29,Loss of GNSS signal,p_71,Data loss,0.5317033529281616
2386,p_31,Attacker injects CAN messages/codes via any ECUs connected to the bus.,p_33,Attacker remotely accesses via telematics systems (TCU).,0.5383011102676392
2389,p_31,Attacker injects CAN messages/codes via any ECUs connected to the bus.,p_36,An adversary can crack a weak password.,0.5552257299423218
2390,p_31,Attacker injects CAN messages/codes via any ECUs connected to the bus.,p_37,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,0.6557775139808655
2393,p_31,Attacker injects CAN messages/codes via any ECUs connected to the bus.,p_40,"Attacker can edit, add, manipuler codes and framework of the must ECUs in the vehcles.",0.5617692470550537
2395,p_31,Attacker injects CAN messages/codes via any ECUs connected to the bus.,p_42,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",0.6068059802055359
2396,p_31,Attacker injects CAN messages/codes via any ECUs connected to the bus.,p_43,Attacker operates phisically on the TC by tampering the device firmware.,0.6072856783866882
2397,p_31,Attacker injects CAN messages/codes via any ECUs connected to the bus.,p_44,An attacker could perform remote control by installing remotely his own software on the device.,0.535407304763794
2399,p_31,Attacker injects CAN messages/codes via any ECUs connected to the bus.,p_46,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.5559971928596497
2423,p_31,Attacker injects CAN messages/codes via any ECUs connected to the bus.,p_70,Smart key jamming,0.5315536260604858
2458,p_32,Attacker modifies the path of the sensitive data circulating in the vehicle.,p_42,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",0.5927807688713074
2465,p_32,Attacker modifies the path of the sensitive data circulating in the vehicle.,p_49,Possibility to discover and control the behaviour and profile of the driver.,0.5480677485466003
2489,p_32,Attacker modifies the path of the sensitive data circulating in the vehicle.,p_73,Infotainment Alteration,0.5550500154495239
2515,p_33,Attacker remotely accesses via telematics systems (TCU).,p_37,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,0.814812183380127
2521,p_33,Attacker remotely accesses via telematics systems (TCU).,p_43,Attacker operates phisically on the TC by tampering the device firmware.,0.5620278120040894
2522,p_33,Attacker remotely accesses via telematics systems (TCU).,p_44,An attacker could perform remote control by installing remotely his own software on the device.,0.6380447149276733
2576,p_34,"An adversary can capture, analyze, and replaye the messages.",p_37,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,0.5518951416015625
2585,p_34,"An adversary can capture, analyze, and replaye the messages.",p_46,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.5588880181312561
2586,p_34,"An adversary can capture, analyze, and replaye the messages.",p_47,An adversary can identify or track the vehicle from the sensor.,0.5719748735427856
2587,p_34,"An adversary can capture, analyze, and replaye the messages.",p_48,"For wireless communication channel, messages can be captured, analyze, and replayed.",0.6677719354629517
2646,p_35,An adversary could link the messages to a specific vehicle.,p_47,An adversary can identify or track the vehicle from the sensor.,0.8186241388320923
2648,p_35,An adversary could link the messages to a specific vehicle.,p_49,Possibility to discover and control the behaviour and profile of the driver.,0.580922544002533
2649,p_35,An adversary could link the messages to a specific vehicle.,p_50,An adversary relates pseudonymous positions to specific vehicles.,0.7058391571044922
2700,p_36,An adversary can crack a weak password.,p_42,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",0.622491717338562
2704,p_36,An adversary can crack a weak password.,p_46,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.569820761680603
2710,p_36,An adversary can crack a weak password.,p_52,Smart key bruteforcing,0.560210645198822
2728,p_36,An adversary can crack a weak password.,p_70,Smart key jamming,0.5748884677886963
2754,p_37,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,p_38,The SS7 vulnerabilities can be exploited to compromise SMS system to intercept text user messages.,0.5481929183006287
2757,p_37,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,p_41,"Attacker can modify the hardware or changing or disabling physical sensors, memories and features.",0.5853943824768066
2758,p_37,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,p_42,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",0.683585524559021
2759,p_37,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,p_43,Attacker operates phisically on the TC by tampering the device firmware.,0.6938542127609253
2760,p_37,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,p_44,An attacker could perform remote control by installing remotely his own software on the device.,0.73868727684021
2761,p_37,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,p_45,Reprogramming the USB/CD device's firmware to execute malicious actions.,0.5473922491073608
2762,p_37,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,p_46,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.6322742700576782
2815,p_38,The SS7 vulnerabilities can be exploited to compromise SMS system to intercept text user messages.,p_42,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",0.5314639806747437
2891,p_39,"Spying, SMS Interception & Modification, User Tracking.",p_62,CAN eavesdropping,0.5609613060951233
2980,p_41,"Attacker can modify the hardware or changing or disabling physical sensors, memories and features.",p_42,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",0.5829356908798218
2982,p_41,"Attacker can modify the hardware or changing or disabling physical sensors, memories and features.",p_44,An attacker could perform remote control by installing remotely his own software on the device.,0.5728501677513123
3034,p_42,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",p_43,Attacker operates phisically on the TC by tampering the device firmware.,0.6566982865333557
3035,p_42,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",p_44,An attacker could perform remote control by installing remotely his own software on the device.,0.5641640424728394
3037,p_42,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",p_46,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.5321053862571716
3061,p_42,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",p_70,Smart key jamming,0.6493834853172302
3087,p_43,Attacker operates phisically on the TC by tampering the device firmware.,p_44,An attacker could perform remote control by installing remotely his own software on the device.,0.6489132046699524
3088,p_43,Attacker operates phisically on the TC by tampering the device firmware.,p_45,Reprogramming the USB/CD device's firmware to execute malicious actions.,0.6411257386207581
3089,p_43,Attacker operates phisically on the TC by tampering the device firmware.,p_46,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.539404571056366
3094,p_43,Attacker operates phisically on the TC by tampering the device firmware.,p_51,Mobile App spoofing,0.5941847562789917
3100,p_43,Attacker operates phisically on the TC by tampering the device firmware.,p_57,Mobile App malware,0.5878622531890869
3139,p_44,An attacker could perform remote control by installing remotely his own software on the device.,p_45,Reprogramming the USB/CD device's firmware to execute malicious actions.,0.6299209594726562
3140,p_44,An attacker could perform remote control by installing remotely his own software on the device.,p_46,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.5573784112930298
3190,p_45,Reprogramming the USB/CD device's firmware to execute malicious actions.,p_46,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.6324178576469421
3290,p_47,An adversary can identify or track the vehicle from the sensor.,p_49,Possibility to discover and control the behaviour and profile of the driver.,0.6318385004997253
3291,p_47,An adversary can identify or track the vehicle from the sensor.,p_50,An adversary relates pseudonymous positions to specific vehicles.,0.5801685452461243
3477,p_51,Mobile App spoofing,p_54,GPS spoofing,0.5466858744621277
3480,p_51,Mobile App spoofing,p_57,Mobile App malware,0.7585326433181763
3514,p_51,Mobile App spoofing,p_91,Misleading Content,0.5792416334152222
3519,p_52,Smart key bruteforcing,p_53,Smart key cloning,0.5521725416183472
3536,p_52,Smart key bruteforcing,p_70,Smart key jamming,0.6130796670913696
3578,p_53,Smart key cloning,p_70,Smart key jamming,0.6459370255470276
3650,p_55,V2X Message replay,p_61,V2X data tampering,0.6005666255950928
3657,p_55,V2X Message replay,p_68,V2X eavesdropping,0.6215174198150635
3876,p_61,V2X data tampering,p_68,V2X eavesdropping,0.6793670058250427
3909,p_62,CAN eavesdropping,p_68,V2X eavesdropping,0.6183045506477356
3977,p_64,Infotainment reverse engineering,p_73,Infotainment Alteration,0.6006132364273071
4023,p_65,Insecure API endpoint,p_89,Insecure Data Transfer,0.6692109107971191
4174,p_71,Data loss,p_81,Insufficient Deletion of User Data,0.5488350987434387
4175,p_71,Data loss,p_82,Insufficient Data Quality,0.5421640872955322
4314,p_78,Insufficient Data Breach Response,p_81,Insufficient Deletion of User Data,0.5311329960823059
4315,p_78,Insufficient Data Breach Response,p_82,Insufficient Data Quality,0.5555859804153442
4319,p_78,Insufficient Data Breach Response,p_86,Insufficient Data Structure Model to handle user rights,0.6247510313987732
4352,p_80,"Non-transparent Policies, Agreements, Terms and Conditions",p_88,"Inappropriate Policies, Terms and Conditions",0.6664083003997803
4361,p_81,Insufficient Deletion of User Data,p_83,Missing or Insufficient Session Expiration,0.5587612986564636
4363,p_81,Insufficient Deletion of User Data,p_85,Collection of data not required for the user-consented purpose,0.5477020740509033
4377,p_82,Insufficient Data Quality,p_86,Insufficient Data Structure Model to handle user rights,0.531947910785675
4400,p_84,Inability of users to access and modify data,p_86,Insufficient Data Structure Model to handle user rights,0.5488864779472351
4431,p_87,Sharing of Data with 3rd Party,p_90,Transfer or Processing through 3rd Party,0.8136056065559387
